Title,Company,Experience,Salary,Location,Skills,Link
Dot net Developer: [NDEV-PUNE-],Growbiz,1-6 Yrs,Not disclosed,Pune,"assembly language, C, HTML, SQL, Six Sigma, PMP, JavaScript, Real Time Operating Systems",https://www.naukri.com/job-listings-dot-net-developer-ndev-pune-growbiz-inc-pune-1-to-6-years-280518500485
Dot Net Developer,Indexial,3-5 Yrs,Not disclosed,Pune,".Net, Development, DoT",https://www.naukri.com/job-listings-dot-net-developer-indexial-solutions-pune-3-to-5-years-280624501211
Dot Net Developer,Amicus Technologies,3-5 Yrs,Not disclosed,"Pune, Raipur","Interpersonal skills, jQuery, ADO.Net, Javascript, ASP.Net, HTML, ASP.Net MVC, Object oriented programming",https://www.naukri.com/job-listings-dot-net-developer-amicus-technologies-pune-raipur-3-to-5-years-281120500182
Dot Net Developer,Swaliya Softech,2-5 Yrs,Not disclosed,Pune,"server, VB.NET, Web reporting, SQL, MS SQL, database, jQuery, Coding",https://www.naukri.com/job-listings-dot-net-developer-swaliya-softech-pune-2-to-5-years-301118501683
Dot net Developer,Lissom Technologies,4-8 Yrs,Not disclosed,Pune,".Net, DoT, Development",https://www.naukri.com/job-listings-dot-net-developer-lissom-technologies-pvt-ltd-pune-4-to-8-years-280524501059
Dot Net Developer,Egenx Systech,2-3 Yrs,Not disclosed,Pune,"query optimization, .NET framework, Coding, Javascript, HTML, Stored procedures, ASP.Net MVC, SQL",https://www.naukri.com/job-listings-dot-net-developer-egenx-systech-pvt-ltd-pune-2-to-3-years-290922501987
Dot NET Full stack developer,Coditas Technologies,3-8 Yrs,Not disclosed,Pune,"MS SQL, jQuery, LINQ, Front end, Coding, MySQL, SSRS, Javascript",https://www.naukri.com/job-listings-dot-net-full-stack-developer-coditas-technologies-pvt-ltd-pune-3-to-8-years-291221500384
DOT - NET DEVELOPER,Modular Infotech,3-8 Yrs,Not disclosed,Pune,"Net Developer, Key Skills, Sql Server, Problem Solving, C # . Net, Asp . Net, . Net Framework, Web Services",https://www.naukri.com/job-listings-dot-net-developer-modular-infotech-pvt-ltd-pune-3-to-8-years-301221500182
Dot Net Core Fullstack Developer,Mobikode,2-8 Yrs,Not disclosed,Pune,"Content management, Usage, GIT, OOAD, Web development, Javascript, Scrum, test driven development",https://www.naukri.com/job-listings-dot-net-core-fullstack-developer-mobikode-software-private-limited-pune-2-to-8-years-311224500920
Tech Lead Dot Net,Finite HR Consulting Private Limited,7-12 Yrs,Not disclosed,Pune,"Technical product configuration, c++, C, design, MySQL, JavaScript, integration PHP, HTML",https://www.naukri.com/job-listings-tech-lead-dot-net-finite-hr-consulting-private-limited-pune-7-to-12-years-010717506245
Dot Net - Architect,Nityo Infotech,10-12 Yrs,Not disclosed,Pune,"Automation testing, GIT, C, Architecture, Javascript, .Net, MVC, Unit testing",https://www.naukri.com/job-listings-dot-net-architect-nitor-infotech-pune-10-to-12-years-290224501823
Sr. Dot net Developer,Suma Soft,3-5 Yrs,Not disclosed,Pune,"Service management, jQuery, LINQ, Windows Services, Entity framework, .Net, WCF, MVC",https://www.naukri.com/job-listings-sr-dot-net-developer-suma-soft-pvt-ltd-pune-3-to-5-years-280923501312
Dot Net Backend,Diverse Lynx,1-5 Yrs,Not disclosed,Pune,"Backend, Database, .Net, microsoft, SQL, DoT, DBMS",https://www.naukri.com/job-listings-dot-net-backend-diverse-lynx-pune-1-to-5-years-280521500744
Dot Net Architect,Mobikode,4-6 Yrs,Not disclosed,Pune,"Product management, NoSQL, MVVM, UML, XML, OOAD, OWASP, Strategic planning",https://www.naukri.com/job-listings-dot-net-architect-mobikode-software-private-limited-pune-4-to-6-years-311224500918
Senior Software Developer (Dot Net),Stantec ResourceNet India Pvt. Ltd.,10-11 Yrs,Not disclosed,Pune,"Automation, Access management, Javascript, .Net, Data structures, Middleware, Analytics, Monitoring",https://www.naukri.com/job-listings-senior-software-developer-dot-net-stantec-resourcenet-india-pvt-ltd-pune-10-to-11-years-271224501870
Dot Net Fullstack,Diverse Lynx,5-7 Yrs,Not disclosed,Pune,"github, Version control, RDBMS, PAAS, MySQL, Javascript, Development Lead, HTML",https://www.naukri.com/job-listings-dot-net-fullstack-diverse-lynx-pune-5-to-7-years-300421500972
Process Planning -Engineer,Tata Technologies,3-6 Yrs,Not disclosed,Pune,"Delmia, Change management, Coding, Process planning, Project management, Production engineering, Manufacturing engineering, German",https://www.naukri.com/job-listings-process-planning-engineer-tata-technologies-ltd-pune-3-to-6-years-271224501343
Dot NET DEVLOPER,Itfms Infotech,2-5 Yrs,Not disclosed,Pune,"c#, asp.net mvc, css, software development, problem solving, sql server, javascript, jquery",https://www.naukri.com/job-listings-dot-net-devloper-itfms-pune-2-to-5-years-240524500145
MVC DOT NET Developer,Swift Technocraft,1-6 Yrs,Not disclosed,Pune,"E-commerce, Presales, Sales Executive, SEO Executive, Software services, Support Executive, dot, seo",https://www.naukri.com/job-listings-mvc-dot-net-developer-swift-technocrafts-pune-1-to-6-years-230922500258
PRODUCTION OFFICER,JAYESH GROUPTM,5-7 Yrs,Not disclosed,"Mumbai, Pune, Khopoli","Supervisor, ISO 9001, Compliance, Production planning, Production engineering, Compliance management, Production department, Management",https://www.naukri.com/job-listings-production-officer-jayesh-grouptm-mumbai-pune-khopoli-5-to-7-years-270820501313
MVC DOT Net,Swift Technocraft,2-7 Yrs,Not disclosed,Pune,"Social media marketing, Google Analytics, Email marketing, Content optimization, SEO Executive, Software services, Auditing, dot",https://www.naukri.com/job-listings-mvc-dot-net-swift-technocrafts-pune-2-to-7-years-220922500787
Dot Net Developer,Soul Foundation,2-7 Yrs,Not disclosed,Pune,"Web application development, MS SQL, CSS, MIN, .Net, ASP.Net, HTML, Visual Studio",https://www.naukri.com/job-listings-dot-net-developer-soul-foundation-pune-2-to-7-years-230224502371
